timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y,used_in_model
1783011676586,4,figure8,,,0.0,0.0,"[-0.012289893084527603, 0.094941517538768, -0.15236328871030688]",0,292.02331350788864,212.8577954104685,False
1783011676597,4,figure8,,,0.0,0.0,"[-0.012289893084527603, 0.094941517538768, -0.15236328871030688]",0,294.7801877873821,214.6813370647454,False
1783011676613,4,figure8,,,0.0,0.0,"[-0.012289893084527603, 0.094941517538768, -0.15236328871030688]",0,298.77844698289914,217.35474726065405,False
1783011676629,4,figure8,,,0.0,0.0,"[-0.012289893084527603, 0.094941517538768, -0.15236328871030688]",0,302.8925977038503,220.13871812822157,False
1783011676656,4,figure8,,,0.0,0.0,"[-0.012527813013561928, 0.094639001663272, -0.15236327284959475]",0,309.6620886538339,224.78522867670674,False
1783011676662,4,figure8,,,0.0,0.0,"[-0.012527813013561928, 0.094639001663272, -0.15236327284959475]",0,311.13717345663656,225.80757841996373,False
1783011676678,4,figure8,,,0.0,0.0,"[-0.012527813013561928, 0.094639001663272, -0.15236327284959475]",0,315.2650507643815,228.68544564177867,False
1783011676705,4,figure8,,,0.0,0.0,"[-0.01195410430116789, 0.092021995791158, -0.15852601471608724]",0,322.19336477873134,233.56569561310792,False
1783011676710,4,figure8,,,0.0,0.0,"[-0.01195410430116789, 0.092021995791158, -0.15852601471608724]",0,323.47444049859234,234.47412470064836,False
1783011676726,4,figure8,,,0.0,0.0,"[-0.01195410430116789, 0.092021995791158, -0.15852601471608724]",0,327.5276136631673,237.35908237116294,False
1783011676742,4,figure8,,,0.0,0.0,"[-0.01195410430116789, 0.092021995791158, -0.15852601471608724]",0,331.5360581873241,240.22648532816257,False
1783011676771,4,figure8,,,0.0,0.0,"[-0.0005799165527936578, 0.09236425680703164, -0.1478304964507252]",0,339.05288548142335,245.63365531013525,False
1783011676774,4,figure8,,,0.0,0.0,"[-0.0005799165527936578, 0.09236425680703164, -0.1478304964507252]",0,339.9032820892924,246.24731962528898,False
1783011676789,4,figure8,,,0.0,0.0,"[-0.0005799165527936578, 0.09236425680703164, -0.1478304964507252]",0,343.8219677838781,249.07883726806338,False
1783011676806,4,figure8,,,0.0,0.0,"[-0.0005799165527936578, 0.09236425680703164, -0.1478304964507252]",0,348.1297170143674,252.19658975227702,False
1783011676855,5,zigzag,,,0.0,0.0,"[-0.004980318456256683, 0.0881987119180645, -0.14321725926811585]",0,107.01269333724977,80.59360001134871,False
1783011676888,5,zigzag,,,0.0,0.0,"[-0.0005216150945736575, 0.08994077806632805, -0.1447670493248213]",0,109.73952000783287,88.49520002269745,False
1783011676903,5,zigzag,,,0.0,0.0,"[-0.0005216150945736575, 0.08994077806632805, -0.1447670493248213]",0,110.97152000783286,92.06520002269744,False
1783011676940,5,zigzag,,,0.0,0.0,"[0.011006582456794534, 0.08704182766779212, -0.1339333091686079]",0,113.97760000000002,100.77600000000001,False
1783011676950,5,zigzag,,,0.0,0.0,"[0.011006582456794534, 0.08704182766779212, -0.1339333091686079]",0,114.86464000587466,103.34640001702309,False
1783011676967,5,zigzag,,,0.0,0.0,"[0.011006582456794534, 0.08704182766779212, -0.1339333091686079]",0,116.25269333724978,107.36860001134872,False
1783011677005,5,zigzag,,,0.0,0.0,"[0.011521427390220662, 0.08395330521646205, -0.13083670823836038]",0,119.34912000783287,116.34120002269745,False
1783011677014,5,zigzag,,,0.0,0.0,"[0.011521427390220662, 0.08395330521646205, -0.13083670823836038]",0,120.09653333333335,118.507,False
1783011677030,5,zigzag,,,0.0,0.0,"[0.011521427390220662, 0.08395330521646205, -0.13083670823836038]",0,121.4024533411662,122.29120002269744,False
1783011677046,5,zigzag,,,0.0,0.0,"[0.011521427390220662, 0.08395330521646205, -0.13083670823836038]",0,122.71658667449954,126.09920002269743,False
1783011677070,5,zigzag,,,0.0,0.0,"[0.016186975213192234, 0.08390614630541826, -0.12774386938618898]",0,124.69600000000003,131.835,False
1783011677078,5,zigzag,,,0.0,0.0,"[0.016186975213192234, 0.08390614630541826, -0.12774386938618898]",0,125.32842667058311,133.66760001134872,False
1783011677094,5,zigzag,,,0.0,0.0,"[0.016186975213192234, 0.08390614630541826, -0.12774386938618898]",0,126.66720000000002,137.54700000000003,False
1783011677126,5,zigzag,,,0.0,0.0,"[0.012931816896840087, 0.08401156112850172, -0.13859008599909284]",0,129.25440000000003,145.04399999999998,False
1783011677142,5,zigzag,,,0.0,0.0,"[0.012931816896840087, 0.08401156112850172, -0.13859008599909284]",0,130.6424533411662,149.06620002269744,False
1783011677158,5,zigzag,,,0.0,0.0,"[0.012931816896840087, 0.08401156112850172, -0.13859008599909284]",0,131.948373339208,152.8504000170231,False
1783011677185,5,zigzag,,,0.0,0.0,"[0.010897722056124493, 0.08287511577500684, -0.1370581805797592]",0,134.12490667254133,159.1574000170231,False
