Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC,Ablation_Group
Random_Forest,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.9166666666666667,0.9761904761904762,G_Behavioral_RT_and_Gaze
Random_Forest,4,0.75,0.8,1.0,0.6,1.0,0.75,0.7333333333333334,0.885,G_Behavioral_RT_and_Gaze
Random_Forest,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.6000000000000001,0.6861904761904762,G_Behavioral_RT_and_Gaze
XGBoost,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,1.0,1.0,G_Behavioral_RT_and_Gaze
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.7345238095238095,G_Behavioral_RT_and_Gaze
XGBoost,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.9166666666666667,0.9761904761904762,G_Behavioral_RT_and_Gaze
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.5333333333333334,0.7416666666666667,G_Behavioral_RT_and_Gaze
XGBoost,5,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.5333333333333334,0.7783333333333333,G_Behavioral_RT_and_Gaze
Logistic_Regression,1,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,1.0,1.0,H_Behavioral_RT_and_Pupil
Logistic_Regression,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.75,0.915079365079365,H_Behavioral_RT_and_Pupil
Logistic_Regression,3,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666667,0.8972222222222223,H_Behavioral_RT_and_Pupil
Logistic_Regression,4,0.5,0.5333333333333333,0.6666666666666666,0.4,0.6666666666666666,0.5,0.6666666666666667,0.8350000000000001,H_Behavioral_RT_and_Pupil
Logistic_Regression,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6666666666666667,0.8261904761904763,H_Behavioral_RT_and_Pupil
Random_Forest,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,H_Behavioral_RT_and_Pupil
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.7345238095238095,H_Behavioral_RT_and_Pupil
Random_Forest,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.8333333333333333,0.9484126984126984,H_Behavioral_RT_and_Pupil
Random_Forest,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.8,0.9028571428571428,H_Behavioral_RT_and_Pupil
Random_Forest,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6000000000000001,0.7595238095238095,H_Behavioral_RT_and_Pupil
XGBoost,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,1.0,1.0,H_Behavioral_RT_and_Pupil
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.7345238095238095,H_Behavioral_RT_and_Pupil
XGBoost,3,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.8333333333333333,0.9484126984126984,H_Behavioral_RT_and_Pupil
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6000000000000001,0.7683333333333333,H_Behavioral_RT_and_Pupil
